student_id,age,gender,gpa,family_income,target_track,target_strand,created_at,assessment_mathematics,assessment_science,assessment_communication,assessment_critical_thinking,assessment_problem_solving,assessment_creativity,assessment_leadership,assessment_technical_knowledge,assessment_research,assessment_analysis,assessment_writing,assessment_practical_skills,assessment_analytical_thinking,assessment_business_acumen,assessment_empathy,assessment_adaptability,assessment_flexibility,assessment_programming,assessment_logical_thinking,assessment_technical_skills,assessment_hands_on,assessment_craftsmanship,assessment_mechanical_aptitude,assessment_attention_to_detail,assessment_organization,assessment_care_giving,assessment_environmental_awareness,assessment_patience,assessment_physical_stamina,assessment_observation,interests,hobbies,work_preferences
STU_51033,15,Female,3.23,High,Academic,STEM – Science Technology Engineering and Mathematics,2024-11-13 19:31:55.833099,79.8,93.0,72.4,72.2,95.1,60.3,70.2,55.3,64.9,58.0,61.5,68.9,73.8,91.4,44.9,41.8,77.4,71.9,69.4,69.4,59.8,46.5,61.1,49.8,74.6,57.8,47.6,55.2,66.2,51.5,"digital_media,innovation,cooking,building,learning,experimentation,computers,technology","farming,building,math_puzzles,crafting,gaming,networking,app_development,traveling,science_experiments","environmental,research_oriented,physical,analytical,skill_based,collaborative,diverse,leadership,goal_oriented,challenging,independent,sustainable"
STU_61374,17,Other,3.58,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-06-29 19:31:55.833150,84.4,84.4,52.4,52.9,84.3,38.3,38.9,49.2,56.8,64.7,82.1,72.9,80.4,59.7,45.0,59.7,55.7,64.8,47.6,67.8,83.0,58.4,66.0,70.4,54.0,63.4,60.2,61.5,48.4,60.4,"innovation,building,social_issues,manufacturing,experimentation,analysis,construction,nature,technology,research","math_puzzles,robotics,volunteering,crafting,gaming,planning,networking,baking","environmental,flexible,diverse,detail_oriented,independent"
STU_25970,15,Female,3.47,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-08-10 19:31:55.833200,96.5,91.6,92.3,48.5,90.7,62.8,92.8,47.9,47.4,51.0,28.1,52.1,74.4,62.3,65.1,88.1,74.3,51.3,46.5,67.4,40.2,87.5,77.7,53.0,34.3,80.3,58.3,78.6,36.1,51.0,"innovation,manufacturing,experimentation,analysis,mechanics,agriculture,technology,research","planning,coding,repair_work,science_experiments","caring,adaptable,flexible,research_oriented,practical,diverse,creative,challenging,technical,independent"
STU_40932,18,Male,3.69,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-10-08 19:31:55.833254,82.5,77.5,69.3,44.0,80.6,61.8,67.7,70.7,43.1,37.0,79.2,65.0,74.5,83.3,61.7,77.7,61.0,90.9,86.3,56.3,74.6,69.7,80.5,45.5,70.3,75.9,33.6,42.3,29.4,56.0,"digital_media,innovation,cooking,experimentation,web_development,fashion,nature,computers,technology,finance,research","farming,fishing,building,math_puzzles,robotics,writing,gaming,planning,coding,baking,reading","adaptable,innovative,research_oriented,analytical,goal_oriented,challenging,detail_oriented,independent"
STU_84991,17,Other,3.36,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-02 19:31:55.833331,97.0,82.7,84.4,39.3,65.0,59.2,65.8,59.5,29.0,58.7,40.4,70.0,85.7,45.9,52.3,44.1,59.1,74.3,45.2,67.6,52.0,48.1,58.4,44.5,51.7,42.0,89.5,60.5,49.5,63.2,"innovation,environment,economics,agriculture,technology,finance","fishing,tech_projects,various_activities,robotics,investing,decorating,coding,animal_care,science_experiments,reading","caring,exploratory,environmental,analytical,hands_on,physical_work,creative,challenging,independent,service_oriented"
STU_92478,17,Other,3.62,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-08-21 19:31:55.833411,79.8,88.1,71.4,52.0,76.2,55.9,25.5,37.3,80.5,84.7,56.3,68.6,85.1,100.0,76.8,58.1,45.7,35.9,63.1,48.7,38.7,50.3,43.8,85.3,73.2,59.9,82.2,61.2,47.1,82.8,"flexibility,innovation,social_issues,experimentation,analysis,economics,mechanics,construction,research","farming,various_activities,robotics,investing,crafting,writing,gaming,planning,decorating,coding,debating,science_experiments","environmental,innovative,research_oriented,analytical,hands_on,challenging,detail_oriented,independent,service_oriented"
STU_33040,16,Female,2.89,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-08-16 19:31:55.833498,71.6,80.1,46.9,39.3,91.3,88.6,39.0,68.4,50.2,52.7,51.1,47.0,82.5,47.5,64.1,59.2,56.4,46.4,51.3,71.3,67.5,45.3,61.5,71.3,35.0,68.2,50.1,68.6,48.6,32.9,"business,innovation,experimentation,analysis,technology,research","math_puzzles,robotics,gaming,metalworking,woodworking,repair_work,science_experiments,reading","exploratory,environmental,flexible,innovative,research_oriented,analytical,collaborative,challenging,detail_oriented,independent,sustainable"
STU_18357,15,Female,3.28,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-11-30 19:31:55.833599,82.5,84.6,46.4,69.6,65.4,59.0,41.8,50.2,60.7,47.1,54.2,75.1,76.2,72.5,43.1,67.9,81.6,22.9,48.0,68.7,57.0,65.6,50.9,61.3,57.7,77.5,63.8,65.1,53.8,52.7,"literature,innovation,learning,experimentation,analysis,food_production,technology,networking,research","cooking,various_activities,sewing,math_puzzles,robotics,writing,decorating,metalworking,coding,reading","environmental,flexible,research_oriented,physical,analytical,skill_based,hands_on,diverse,meaningful_work,challenging,independent"
STU_89026,17,Female,3.7,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-08-14 19:31:55.833679,85.9,77.8,64.3,91.1,90.7,55.1,78.0,53.9,29.4,44.9,31.9,54.7,82.2,85.1,64.9,56.7,72.4,26.8,63.5,71.6,37.8,77.2,65.1,53.8,69.5,94.1,62.7,63.7,53.1,47.3,"entrepreneurship,engineering,innovation,experimentation,analysis,politics,mechanics,technology,research","farming,cooking,tech_projects,sewing,math_puzzles,robotics,crafting,gaming,coding,repair_work,baking","research_oriented,competitive,analytical,goal_oriented,meaningful_work,challenging,independent,sustainable"
STU_95182,15,Other,3.55,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-08-18 19:31:55.833730,73.4,82.7,52.8,67.2,85.3,75.6,52.3,56.0,45.3,53.3,65.7,71.4,72.8,73.0,80.3,66.2,88.2,48.4,41.3,33.3,82.4,69.8,59.2,64.2,43.1,96.7,61.9,61.6,70.9,67.2,"innovation,building,experimentation,analysis,mechanics,technology,networking","gardening,math_puzzles,robotics,volunteering,crafting,gaming,decorating,metalworking,debating,science_experiments","flexible,research_oriented,analytical,helping_others,physical_work,leadership,creative,challenging,independent,sustainable"
STU_42321,15,Female,3.96,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-10-18 19:31:55.833895,74.1,86.7,88.2,80.2,97.9,52.3,45.2,58.1,60.8,76.4,34.6,82.9,80.4,53.6,44.8,35.2,72.3,61.1,40.7,40.6,55.0,85.0,56.1,37.5,56.3,55.9,19.5,59.2,56.5,70.4,"variety,digital_media,engineering,innovation,cooking,environment,diverse_fields,learning,analysis,exploration,research,interior_design","fishing,robotics,decorating,repair_work,networking,debating,science_experiments","exploratory,environmental,research_oriented,physical,analytical,diverse,goal_oriented,challenging,detail_oriented,independent"
STU_94930,15,Male,3.1,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-07-10 19:31:55.833955,93.3,79.3,43.4,98.6,82.6,60.2,59.6,63.0,57.8,51.4,51.8,59.5,76.6,49.3,61.6,56.2,82.6,20.2,76.4,78.7,28.9,54.9,54.4,38.9,48.3,43.3,86.3,74.0,79.1,70.8,"digital_media,engineering,innovation,experimentation,technology,research","learning_new_things,fishing,building,math_puzzles,robotics,gaming,woodworking,coding,networking,science_experiments,reading","caring,exploratory,innovative,research_oriented,analytical,helping_others,challenging,outdoor_work,independent,service_oriented,sustainable"
STU_41056,18,Male,3.27,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-05-19 19:31:55.834002,76.8,86.9,41.7,70.7,79.6,54.4,70.7,66.7,54.6,77.4,43.8,69.2,87.9,55.4,64.9,41.2,73.9,57.2,52.2,75.7,49.4,38.9,36.7,69.1,40.8,86.3,28.8,85.4,63.2,58.5,"innovation,environment,web_development,analysis,technology","exploring,farming,fishing,tech_projects,computer_building,math_puzzles,robotics,gaming,reading_business,metalworking,coding,repair_work,reading","caring,innovative,research_oriented,analytical,skill_based,physical_work,meaningful_work,challenging,independent"
STU_19283,18,Other,3.44,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-05-09 19:31:55.834053,86.0,81.6,76.5,61.7,83.5,54.5,59.1,64.6,34.3,39.8,71.1,62.6,80.2,60.3,65.2,51.9,48.3,62.9,45.3,66.1,34.5,75.4,67.1,63.8,74.7,85.0,75.2,32.4,40.8,50.6,"business,innovation,manufacturing,politics,technology,research","learning_new_things,building,math_puzzles,robotics,investing,gaming,coding,app_development,traveling,debating,reading","exploratory,adaptable,innovative,analytical,hands_on,physical_work,goal_oriented,challenging,technical,detail_oriented,independent"
STU_45227,17,Male,3.66,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-07-05 19:31:55.834099,87.2,74.7,62.8,48.7,75.9,38.9,46.2,39.7,45.4,75.8,45.8,99.5,86.9,62.8,47.1,70.5,51.4,61.8,98.4,58.6,77.2,49.5,59.5,86.6,50.6,87.2,70.6,51.6,69.5,74.6,"entrepreneurship,software,sustainability,nutrition,building,experimentation,web_development,analysis,construction,agriculture,technology,research","farming,building,investing,gaming,metalworking,woodworking,coding,repair_work,networking,cultural_activities","flexible,research_oriented,analytical,skill_based,helping_others,physical_work,challenging,outdoor_work,independent,service_oriented"
STU_86638,15,Male,3.35,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-07-10 19:31:55.834147,66.3,74.7,56.3,58.9,88.2,62.7,40.0,65.7,69.2,68.4,76.2,72.5,86.6,58.9,35.1,66.4,63.1,64.1,40.8,43.8,75.8,59.4,70.2,60.4,60.4,74.1,52.3,61.4,53.1,53.5,"flexibility,engineering,literature,innovation,management,learning,experimentation,analysis,technology,finance","farming,sewing,math_puzzles,robotics,outdoor_activities,metalworking,coding,baking,cultural_activities","caring,environmental,innovative,analytical,hands_on,collaborative,diverse,physical_work,meaningful_work,challenging,independent"
STU_60911,15,Male,3.93,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-03-06 19:31:55.834194,84.2,77.2,78.8,46.6,80.1,53.4,81.7,62.9,75.5,37.7,64.0,73.3,82.8,76.0,52.2,81.1,94.5,54.6,53.3,81.8,83.7,52.2,53.7,55.8,39.8,46.2,44.9,48.5,59.5,63.5,"innovation,management,family_care,experimentation,fashion,exploration,computers,finance,research","farming,fishing,building,math_puzzles,robotics,volunteering,gaming,reading_business,decorating,coding,animal_care,science_experiments,cultural_activities","research_oriented,analytical,hands_on,diverse,leadership,outdoor_work,independent"
STU_44226,15,Female,3.57,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-07-12 19:31:55.834240,72.0,91.8,56.8,59.3,88.7,43.2,65.7,62.5,67.4,64.3,96.8,50.4,76.7,50.7,51.7,50.4,77.8,81.3,51.4,47.5,67.1,51.7,69.5,63.0,37.3,83.2,86.9,50.8,54.2,64.3,"innovation,cooking,diverse_fields,learning,experimentation,analysis,agriculture,exploration,food_production,technology,history,research","robotics,reading_business,planning,networking,debating,science_experiments,reading","research_oriented,physical,practical,analytical,diverse,leadership,challenging,independent,service_oriented"
STU_29424,18,Male,3.9,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-11-17 19:31:55.834294,88.6,100.0,57.3,48.0,68.2,49.0,59.5,86.9,52.2,63.4,59.8,77.8,100.0,52.0,52.7,75.7,70.2,87.7,68.8,54.6,68.9,76.6,72.3,67.6,76.0,77.5,80.7,69.7,57.5,62.2,"variety,business,innovation,nutrition,social_issues,experimentation,analysis,fashion,technology,history","farming,cooking,math_puzzles,robotics,volunteering,writing,gaming,coding,animal_care","adaptable,innovative,practical,analytical,goal_oriented,challenging"
STU_71171,17,Female,3.47,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-04-02 19:31:55.834342,73.8,85.7,54.1,60.4,94.8,62.9,60.7,39.6,71.2,69.7,92.4,55.4,84.2,63.7,83.7,58.6,64.2,69.1,62.8,53.3,62.9,76.1,44.6,62.0,49.5,77.9,37.2,51.6,65.7,83.5,"software,innovation,environment,social_issues,diverse_fields,experimentation,economics,exploration,food_production,research","learning_new_things,various_activities,math_puzzles,investing,crafting,coding,networking,app_development,animal_care,science_experiments,reading","innovative,research_oriented,analytical,collaborative,physical_work,meaningful_work,challenging,independent"
STU_36137,18,Male,3.62,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-24 19:31:55.834387,76.4,100.0,38.3,27.0,86.4,52.5,44.7,70.6,63.7,51.5,40.8,73.1,88.5,58.5,87.7,43.9,37.1,49.6,59.3,63.7,56.4,65.3,41.2,81.7,58.8,76.8,65.1,66.9,68.5,66.7,"digital_media,innovation,cooking,building,manufacturing,experimentation,technology,research","various_activities,sewing,computer_building,math_puzzles,investing,gaming,coding,animal_care,science_experiments","exploratory,adaptable,flexible,research_oriented,analytical,diverse,physical_work,goal_oriented,challenging,outdoor_work,independent"
STU_53078,16,Other,2.81,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-03-04 19:31:55.834435,95.3,84.0,70.6,58.7,96.4,49.9,87.0,59.4,38.5,61.9,49.8,72.6,75.5,53.3,31.7,53.2,23.6,36.2,71.4,71.8,66.4,45.5,59.3,59.9,42.6,82.6,73.2,56.7,60.4,63.1,"engineering,software,innovation,nutrition,environment,management,experimentation,analysis,construction,computers,technology,research","exploring,farming,cooking,tech_projects,various_activities,math_puzzles,robotics,volunteering,crafting,gaming,science_experiments","environmental,adaptable,flexible,innovative,research_oriented,analytical,leadership,challenging,detail_oriented,sustainable"
STU_93055,15,Female,3.5,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-04-07 19:31:55.834483,79.5,75.2,45.0,55.8,100.0,69.6,51.4,68.6,81.0,73.9,60.9,50.3,89.0,65.9,73.4,69.5,75.7,52.0,79.8,63.0,91.1,49.7,86.0,63.0,50.2,52.7,55.2,66.4,67.8,51.4,"business,social_issues,learning,experimentation,analysis,technology,finance,history","math_puzzles,robotics,volunteering,gaming,metalworking,coding,debating,science_experiments,reading","flexible,research_oriented,challenging,independent,service_oriented"
STU_60014,17,Other,3.57,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-17 19:31:55.834528,100.0,99.3,66.5,60.6,83.2,69.2,44.7,56.1,35.0,66.0,69.7,52.8,97.7,41.6,38.0,63.4,75.7,85.3,53.1,76.2,59.4,57.4,73.3,69.8,36.4,82.1,80.7,50.6,65.9,67.4,"entrepreneurship,innovation,nutrition,family_care,manufacturing,analysis,politics,technology,history,research","computer_building,math_puzzles,coding,app_development,science_experiments","research_oriented,competitive,practical,analytical,helping_others,physical_work,creative,challenging,independent"
STU_14965,15,Female,3.54,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-07-21 19:31:55.834573,76.5,75.3,59.6,77.6,87.4,54.4,71.6,17.3,77.2,33.9,54.6,43.2,69.1,77.4,53.0,65.2,59.3,67.2,61.2,40.8,74.9,52.6,36.7,53.6,82.5,72.8,54.8,54.8,55.2,91.2,"engineering,innovation,experimentation,analysis,fashion,economics,agriculture,food_production","exploring,various_activities,math_puzzles,gaming,metalworking,coding,traveling,science_experiments","caring,research_oriented,practical,analytical,helping_others,leadership,meaningful_work,challenging,independent,service_oriented"
STU_35746,17,Male,3.59,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-04-22 19:31:55.834618,86.3,92.3,63.6,56.1,80.0,58.9,59.4,70.9,60.8,71.0,58.8,61.2,62.0,73.7,65.2,75.0,16.6,91.3,57.9,76.6,44.4,69.2,44.2,50.6,88.7,57.1,63.3,73.1,67.4,62.3,"variety,digital_media,innovation,cooking,building,management,psychology,experimentation,analysis,mechanics,technology","gardening,farming,fishing,various_activities,robotics,crafting,writing,gaming,reading_business,metalworking,app_development,animal_care","caring,environmental,adaptable,research_oriented,physical,analytical,hands_on,challenging,independent,sustainable"
STU_89498,17,Male,3.19,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-01-05 19:31:55.834662,100.0,81.4,63.0,75.8,93.1,77.8,69.6,42.9,84.5,42.8,64.5,48.7,81.4,64.9,64.8,66.3,84.2,66.8,56.3,74.5,77.8,41.6,69.0,70.5,55.5,80.6,57.7,61.9,57.4,60.2,"innovation,nutrition,social_issues,manufacturing,experimentation,web_development,analysis,fashion,agriculture,finance,research","sewing,math_puzzles,gaming,metalworking,debating","environmental,adaptable,research_oriented,practical,analytical,helping_others,physical_work,creative,challenging,technical,independent"
STU_20490,15,Female,3.43,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-10-27 19:31:55.834704,67.6,97.9,47.3,45.1,60.5,50.4,40.2,84.6,75.1,49.7,93.8,74.7,78.8,22.5,94.4,39.2,35.3,75.3,96.6,80.8,68.5,68.9,72.8,71.4,64.2,61.6,59.1,48.7,55.8,34.6,"innovation,social_issues,manufacturing,experimentation,analysis,fashion,mechanics,nature,technology,history,research","building,various_activities,robotics,crafting,reading_business,planning,coding,repair_work,science_experiments","research_oriented,analytical,diverse,helping_others,challenging,outdoor_work,detail_oriented,independent"
STU_51342,15,Female,2.99,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-12-25 19:31:55.834755,72.1,71.0,62.7,80.9,91.2,36.4,45.2,74.1,45.3,56.6,68.3,45.5,83.1,40.0,51.0,64.8,36.1,66.6,59.7,68.3,63.4,80.5,61.9,53.6,61.8,68.1,60.7,60.6,49.5,50.1,"variety,innovation,social_issues,manufacturing,experimentation,web_development,analysis,exploration,computers,research","learning_new_things,cooking,tech_projects,woodworking,coding,repair_work,science_experiments,cultural_activities","caring,exploratory,flexible,research_oriented,diverse,leadership,creative,goal_oriented,challenging,technical,independent"
STU_57600,18,Female,3.99,High,Academic,STEM – Science Technology Engineering and Mathematics,2024-11-07 19:31:55.834797,99.5,69.6,49.6,49.2,90.9,55.6,78.7,49.9,64.2,47.5,92.2,42.2,85.1,69.5,66.2,57.2,58.1,60.7,57.8,74.5,93.2,51.6,39.5,58.7,98.7,47.9,84.6,85.2,51.7,68.5,"innovation,environment,diverse_fields,experimentation,analysis,fashion,technology,research","building,math_puzzles,robotics,volunteering,gaming,decorating,metalworking,woodworking,coding,app_development","analytical,hands_on,challenging,outdoor_work,independent"
STU_11930,15,Male,3.73,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-12-25 19:31:55.834841,78.2,80.0,51.3,44.8,75.5,41.6,60.5,48.5,63.5,36.7,65.0,72.5,62.1,65.6,78.4,41.9,85.1,66.3,49.4,59.2,68.4,61.1,68.1,46.2,62.5,38.8,58.3,46.4,49.0,78.5,"engineering,innovation,cooking,management,diverse_fields,manufacturing,analysis,politics,nature,history","computer_building,math_puzzles,robotics,volunteering,investing,gaming,baking,science_experiments","exploratory,environmental,research_oriented,analytical,hands_on,collaborative,diverse,helping_others,challenging,outdoor_work,independent,service_oriented"
STU_80642,17,Other,3.76,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-17 19:31:55.834883,88.1,71.1,55.3,78.2,83.4,94.8,65.9,62.9,55.4,62.0,57.7,70.6,91.6,48.2,40.0,32.5,67.6,43.4,27.7,65.8,97.4,59.9,72.6,61.2,58.5,73.8,55.6,64.0,64.8,50.0,"business,literature,innovation,family_care,politics,technology,networking,research","learning_new_things,cooking,math_puzzles,robotics,investing,gaming,metalworking,coding,networking,reading","adaptable,research_oriented,analytical,helping_others,challenging,independent"
STU_42749,17,Female,3.38,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-05-07 19:31:55.834926,80.3,74.4,68.0,46.5,82.3,59.9,76.3,67.1,59.6,72.3,80.9,68.4,82.1,40.3,44.0,55.4,50.9,57.2,60.8,67.9,58.9,67.3,61.0,30.4,45.9,57.8,41.9,69.0,83.0,78.3,"literature,innovation,building,environment,social_issues,experimentation,analysis,fashion,networking,research","gardening,fishing,building,math_puzzles,robotics,reading_business,coding,science_experiments","caring,research_oriented,physical,practical,analytical,skill_based,hands_on,diverse,physical_work,independent,sustainable"
STU_12410,16,Other,3.1,Middle,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-23 19:31:55.834972,96.9,83.5,54.9,50.8,79.0,54.2,62.6,62.4,60.0,66.6,77.9,74.2,67.2,21.7,74.0,39.5,56.6,42.4,33.0,68.1,71.4,51.4,21.1,51.8,65.9,37.8,62.8,59.8,68.7,61.8,"software,building,management,experimentation,analysis,agriculture,technology","exploring,cooking,math_puzzles,robotics,writing,gaming,coding,app_development,animal_care,science_experiments,reading","research_oriented,physical,analytical,hands_on,diverse,challenging,outdoor_work,independent"
